DateTime,AddedIPs,RemovedIPs
1613502015,1,3
1613505610,1,0
1613520036,0,1
1613538029,0,1
1613545231,2,0
1613552436,0,1
1613559606,2,0
1613577630,0,1
1613581211,0,1
1613592031,0,1
1613595610,1,0
1613602811,1,0
1613606407,1,0
1613613634,0,1
1613624405,0,1
1613628031,1,0
1613646013,0,1
1613649606,0,1
1613653222,1,0
1613656810,1,0
1613660406,1,0
1613664011,3,2
1613671211,0,2
1613678431,0,3
1613707208,0,3
1613710831,0,1
1613725206,0,2
1613732437,1,0
1613743231,0,2
1613746827,1,0
1613772033,0,1
1613790036,0,1
1613800838,4,0
1613808006,3,0
1613811631,1,0
1613822430,0,1
1613826006,0,1
1613829609,0,1
1613833225,0,2
1613836820,0,1
1613840409,0,1
1613854841,0,1
1613858435,1,0
1613865636,1,0
1613876415,0,1
1613908813,4,0
1613930439,0,1
1613941214,0,1
1613944827,1,0
1613948434,0,2
1613952016,0,1
1613955641,0,2
1613962826,0,1
1613973637,0,1
1613995233,0,1
1614002418,1,1
1614006008,0,2
1614009641,0,1
1614013210,0,2
1614024008,0,1
1614027620,1,1
1614056431,1,1
1614060028,0,2
1614070832,1,0
1614074434,0,1
1614103235,1,0
1614110441,1,0
1614117612,0,1
1614132037,1,1
1614142838,0,2
1614146440,0,1
1614160812,2,0
1614164433,1,0
1614175210,0,1
1614178836,2,0
1614182434,1,0
1614196837,1,0
1614200422,0,1
1614204014,0,1
1614207608,0,1
1614211213,1,0
1614214837,1,0
1614250836,0,1
1614261634,0,1
1614268835,0,3
1614301209,1,1
1614304826,0,2
1614308433,0,1
1614319215,1,0
1614322807,1,0
1614330034,1,0
1614333611,1,0
1614337215,0,1
1614348036,0,1
1614355208,0,1
1614366006,0,1
1614373212,1,0
1614380438,0,1
1614384017,1,2
1614391236,1,1
1614412826,1,0
1614423606,0,1
1614430834,1,0
1614441626,1,0
1614456008,1,0
1614463208,1,0
1614470435,1,0
1614477628,1,0
1614492033,1,1
1614513634,0,1
1614524426,0,1
1614528034,3,0
1614531639,1,1
1614535238,0,1
1614542434,0,1
1614549638,0,1
1614553207,0,2
1614556807,0,1
1614567611,0,1
1614578432,0,1
1614600023,0,1
1614603638,0,1
1614621606,0,1
1614639618,1,0
1614643208,0,1
1614646810,0,1
1614654032,0,1
1614661239,0,1
1614668432,0,2
1614675623,0,1
1614682813,0,2
1614686426,0,1
1614711627,1,0
1614715233,1,0
1614722439,1,0
1614733207,0,1
1614736817,1,1
1614740440,1,1
1614758439,1,0
1614769207,0,1
1614783624,1,2
1614794434,1,0
1614812434,3,0
1614816028,1,2
1614826810,1,0
1614841240,1,0
1614852034,1,0
1614855632,2,0
1614859220,1,0
1614866414,1,0
1614870039,2,0
1614873625,2,0
1614877214,1,0
1614880807,2,1
1614888008,3,0
1614895216,1,2
1614902424,0,2
1614913232,1,0
1614920424,0,1
1614927611,1,0
1614934809,1,1
1614967224,1,0
1614970828,1,0
1614974437,1,0
1614981625,1,1
1614985237,2,0
1614996038,1,0
1615006838,1,0
1615014021,0,2
1615021235,0,1
1615032032,2,0
1615042811,1,0
1615050010,1,0
1615053635,1,1
1615057211,2,0
1615064406,0,1
1615068040,0,1
1615071627,1,1
1615075229,1,0
1615078824,1,0
1615082434,1,0
1615093227,1,0
1615100410,1,0
1615111241,0,1
1615114815,1,0
1615122040,1,0
1615132807,0,1
1615136440,1,0
1615140034,1,1
1615143629,0,1
1615158042,1,0
1615165213,0,1
1615172427,0,1
1615176008,0,1
1615186837,1,0
1615197631,1,0
1615208408,2,0
1615244423,1,0
1615266009,1,0
1615280415,0,1
1615284035,0,1
1615291234,1,0
1615294825,0,1
1615298435,1,0
1615302017,1,1
1615320036,1,1
1615338022,0,1
1615345235,1,1
1615348808,2,1
1615352409,1,0
1615356020,1,0
1615359630,0,1
1615366810,0,1
1615374011,0,1
1615388435,1,0
1615392009,0,1
1615402809,0,1
1615420835,0,1
1615428011,0,1
1615435234,1,0
1615442439,1,0
1615446009,0,1
1615453225,0,1
1615460435,0,1
1615464008,0,1
1615467615,0,3
1615471212,0,1
1615474814,0,2
1615478434,0,1
1615482032,0,2
1615485609,0,1
1615489243,0,2
1615492811,0,2
1615496410,0,1
1615500032,2,0
1615514410,0,1
1615518036,1,1
1615521610,0,1
1615532436,1,0
1615536011,1,0
1615539636,0,1
1615561234,0,1
1615568411,0,2
1615572010,2,0
1615579235,0,1
1615590036,1,1
1615593637,1,0
1615626025,0,1
1615636810,0,3
1615644036,0,1
1615647635,1,0
1615651211,0,2
1615662009,2,0
1615672836,1,0
1615680009,1,1
1615683636,0,1
1615687236,2,1
1615690810,0,1
1615698035,0,1
1615708809,1,1
1615726837,0,1
1615730409,0,1
1615734009,0,1
1615752008,1,0
1615755636,0,1
1615759236,1,0
1615777209,1,0
1615784411,0,2
1615806045,1,0
1615813214,1,0
1615820426,2,0
1615824026,2,0
1615827629,1,0
1615831232,1,0
1615834810,2,0
1615838431,1,1
1615842041,1,0
1615845609,1,0
1615849227,1,0
1615852808,2,0
1615867244,1,0
1615870810,0,1
1615881634,0,1
1615885241,2,0
1615899635,0,1
1615906819,0,1
1615928409,0,1
1615932010,0,1
1615939217,0,1
1615942829,0,1
1615968029,1,0
1615978811,0,1
1615986022,0,1
1615993212,0,1
1615996842,0,3
1616004009,0,1
1616007642,1,0
1616011209,1,0
1616036429,1,0
1616040009,0,1
1616043610,1,0
1616047229,0,1
1616054443,1,0
1616065211,0,2
1616076038,3,0
1616079634,0,1
1616101231,2,0
1616104815,0,1
1616108431,0,1
1616115641,2,0
1616126411,1,0
1616137209,0,2
1616140833,0,1
1616155229,0,1
1616158828,0,1
1616162442,0,1
1616176841,1,0
1616187608,0,1
1616194829,0,2
1616198441,1,0
1616266835,0,1
1616270433,0,2
1616281245,3,0
1616284830,0,2
1616288442,2,0
1616292029,1,0
1616295627,2,0
1616299208,0,1
1616320842,0,1
1616338812,1,2
1616364009,0,1
1616385628,0,2
1616410830,0,1
1616414423,0,1
1616421608,1,1
1616425216,1,1
1616428846,1,2
1616432414,0,2
1616436025,1,1
1616439630,0,3
1616446826,0,1
1616457616,0,1
1616461245,0,1
1616464828,1,1
1616472041,0,3
1616497229,0,1
1616504416,2,0
1616508012,0,1
1616529639,1,0
1616533209,2,0
1616544042,0,1
1616554827,0,2
1616565609,1,0
1616587237,0,1
1616590823,1,1
1616612418,1,0
1616619624,1,1
1616641230,0,2
1616644827,0,1
1616659231,0,1
1616677224,1,0
1616684428,1,0
1616688043,0,1
1616691641,1,0
1616695229,0,1
1616698842,1,0
1616716828,1,0
1616724037,2,0
1616727631,1,0
1616734842,0,2
1616738442,1,0
1616742031,1,0
1616756437,0,1
1616774429,1,0
1616792429,1,0
1616799642,1,0
1616803230,0,1
1616806840,1,0
1616817631,0,1
1616828426,1,0
